id,iban,customer_id,branch_id,account_type,currency,balance,overdraft_limit,status,opened_at
1,ES7899999590507679216079,115,22,checking,EUR,4608.06,0.00,active,2022-06-11
2,ES1199994497988601977413,256,9,savings,EUR,3010.11,0.00,active,2014-11-14
3,ES9499999997895425570802,480,18,savings,EUR,2769.72,0.00,active,2008-06-15
4,ES1999998644985816706598,103,16,savings,EUR,144.39,0.00,active,2020-05-09
5,ES5599997096199273383676,593,24,payroll,EUR,1462.84,0.00,active,2015-11-16
6,ES4999999623323649680439,335,21,checking,EUR,0.00,1500.00,closed,2019-11-13
7,ES2499992753999977008581,409,23,savings,EUR,1277.17,0.00,active,2021-04-21
8,ES3999999623821498374242,650,21,payroll,EUR,6117.83,1000.00,dormant,2024-03-28
9,ES6099992166808621981388,417,3,checking,EUR,126.09,200.00,dormant,2013-04-17
10,ES8399997558392792803060,484,1,checking,EUR,5850.38,0.00,active,2013-11-12
11,ES1199991179770310808606,283,6,checking,EUR,3036.77,1500.00,dormant,2024-03-11
12,ES6499993061351437626011,188,8,savings,EUR,723.89,0.00,active,2019-12-19
13,ES7199999997279355127286,160,18,checking,EUR,1354.94,500.00,dormant,2024-11-05
14,ES3699999623682625744193,526,21,payroll,EUR,928.35,0.00,dormant,2019-04-13
15,ES6999999984008875583508,21,19,savings,EUR,3566.76,0.00,active,2020-03-10
16,ES8599997558309416064442,110,1,checking,EUR,2435.75,0.00,active,2009-09-18
17,ES5099996763210616907015,56,10,checking,EUR,9130.64,500.00,active,2011-06-14
18,ES0399999623486763720759,774,21,checking,EUR,2196.41,200.00,active,2006-01-30
19,ES4699993597836682772370,189,11,savings,EUR,1286.83,0.00,active,2022-10-08
20,ES8899999984184895008125,645,19,checking,EUR,3447.87,1500.00,active,2025-01-13
21,ES9799996710436672409191,160,20,savings,EUR,1591.07,0.00,active,2024-04-05
22,ES4199994896270655382939,758,25,checking,EUR,5735.03,0.00,active,2024-11-16
23,ES1499997558185707950502,671,1,checking,EUR,756.97,1000.00,active,2023-08-31
24,ES2199991179465887617171,366,6,checking,EUR,4520.72,1000.00,active,2012-08-28
25,ES2599999590243924892768,65,22,checking,EUR,2905.48,0.00,active,2013-04-20
26,ES4499998264988323195351,288,5,checking,EUR,843.59,0.00,active,2019-03-14
27,ES6199995954051355852632,692,13,checking,EUR,541.62,1500.00,active,2023-08-07
28,ES4799998644896189089147,762,16,checking,EUR,1049.17,200.00,active,2023-12-11
29,ES1699991342863973643115,714,4,savings,EUR,0.00,0.00,closed,2022-08-20
30,ES1899995954784960353242,504,13,payroll,EUR,3475.84,500.00,dormant,2017-05-05
31,ES4799994896635580008890,262,25,checking,EUR,1873.87,500.00,active,2024-12-31
32,ES9799994497254058069635,445,9,checking,EUR,2508.90,0.00,active,2024-08-29
33,ES5899993240887289667252,49,14,payroll,EUR,3.15,0.00,active,2019-11-12
34,ES9199999623475930666055,170,21,savings,EUR,1336.64,0.00,active,2015-05-06
35,ES1899993061042146673429,718,8,checking,EUR,4899.59,0.00,active,2020-05-04
36,ES9899992166673303588711,88,3,payroll,EUR,2850.32,200.00,active,2023-09-01
37,ES8999992753777509134295,626,23,checking,EUR,0.00,500.00,closed,2023-01-24
38,ES2199995015473420917179,79,12,checking,EUR,158.69,200.00,active,2023-09-18
39,ES7799993240910003775409,274,14,checking,EUR,2886.07,0.00,active,2023-05-30
40,ES6499999623951545519714,800,21,checking,EUR,2053.95,1500.00,active,2023-05-25
41,ES8899991403355174685180,616,7,business,EUR,4931.21,0.00,active,2025-03-04
42,ES9799998644066505063218,584,16,savings,EUR,0.00,0.00,closed,2024-08-16
43,ES9299997558154456015059,118,1,checking,EUR,374.61,200.00,active,2018-06-29
44,ES7299992166767164486431,773,3,checking,EUR,3022.65,500.00,active,2018-01-01
45,ES9099997558296121199150,7,1,checking,EUR,1785.41,500.00,active,2011-12-01
46,ES0599995954104326080598,478,13,payroll,EUR,735.95,0.00,active,2024-05-26
47,ES6499996710964785125233,726,20,savings,EUR,2784.53,0.00,active,2023-03-01
48,ES3999995954034243519070,669,13,savings,EUR,4212.20,0.00,active,2023-06-23
49,ES7099997096226526579648,459,24,savings,EUR,0.00,0.00,closed,2016-04-08
50,ES6799995954295905671753,712,13,checking,EUR,1925.12,0.00,active,2020-02-01
51,ES9399996710255252507461,96,20,checking,EUR,2100.39,200.00,active,2019-02-14
52,ES2399999590998508397731,77,22,checking,EUR,5075.52,1500.00,active,2023-02-27
53,ES7799991665895321593107,46,2,checking,EUR,4506.59,200.00,active,2021-07-24
54,ES2499999623968073997909,131,21,checking,EUR,2546.13,1000.00,active,2019-06-06
55,ES8999991179136595493397,534,6,checking,EUR,4242.16,200.00,active,2017-10-07
56,ES6199993240433689412165,615,14,checking,EUR,1839.08,500.00,active,2022-02-06
57,ES0399999984727903827408,356,19,savings,EUR,3237.53,0.00,active,2020-06-04
58,ES6999997096809231274190,499,24,checking,EUR,3637.21,200.00,active,2012-11-05
59,ES8199995954437805441229,638,13,savings,EUR,1916.96,0.00,active,2019-08-15
60,ES1999996763289601880266,470,10,savings,EUR,1556.43,0.00,active,2021-08-27
61,ES5199998644378385620442,199,16,checking,EUR,1329.34,200.00,active,2021-08-09
62,ES8799999623564358737521,150,21,checking,EUR,906.61,0.00,dormant,2024-10-14
63,ES5599991179230232909275,587,6,checking,EUR,2809.37,500.00,dormant,2023-06-20
64,ES1399998644254553886489,116,16,checking,EUR,1523.02,1500.00,active,2020-01-17
65,ES3399999984397794888076,154,19,checking,EUR,0.00,200.00,closed,2006-11-16
66,ES3199991403166960628730,82,7,checking,EUR,1327.34,0.00,active,2018-10-20
67,ES9099993597154699925063,592,11,checking,EUR,1863.90,1000.00,active,2021-11-11
68,ES9599995954267616152227,195,13,checking,EUR,5047.56,0.00,active,2019-08-08
69,ES7299998644637130359250,107,16,business,EUR,466.46,0.00,active,2022-08-08
70,ES5599993240477313837059,706,14,checking,EUR,2933.47,200.00,active,2020-11-16
71,ES2299997558133719039808,411,1,checking,EUR,3396.22,1500.00,active,2025-02-03
