id,account_id,card_number_masked,card_number_last4,brand,card_type,expires_on,credit_limit,status,issued_at
1,792,411111 ** **** 9840,9840,Visa,credit,2028-12-31,9794.93,active,2024-12-08
2,217,400000 ** **** 0942,0942,Visa,credit,2028-01-31,3498.04,active,2024-01-14
3,244,411111 ** **** 1804,1804,Visa,credit,2029-04-30,2922.83,blocked,2025-04-04
4,906,424242 ** **** 8372,8372,Visa,debit,2028-05-31,,active,2024-05-11
5,625,222100 ** **** 1294,1294,Mastercard,debit,2029-05-31,,active,2025-05-21
6,865,555555 ** **** 0128,0128,Mastercard,debit,2029-03-31,,active,2025-03-28
7,635,222100 ** **** 3509,3509,Mastercard,debit,2029-04-30,,active,2025-04-28
8,645,411111 ** **** 6129,6129,Visa,debit,2028-08-31,,cancelled,2024-08-23
9,72,222100 ** **** 4941,4941,Mastercard,debit,2027-01-31,,active,2023-01-04
10,399,424242 ** **** 5868,5868,Visa,debit,2028-04-30,,cancelled,2024-04-02
11,486,424242 ** **** 8650,8650,Visa,debit,2028-01-31,,active,2024-01-23
12,114,222100 ** **** 9971,9971,Mastercard,debit,2028-05-31,,active,2024-05-14
13,1,400000 ** **** 3561,3561,Visa,debit,2027-09-30,,active,2023-09-17
14,418,545454 ** **** 6154,6154,Mastercard,debit,2027-11-30,,active,2023-11-08
15,533,545454 ** **** 5312,5312,Mastercard,credit,2029-02-28,3110.84,active,2025-02-01
16,923,400000 ** **** 8591,8591,Visa,debit,2028-04-30,,active,2024-04-21
17,1068,400000 ** **** 3544,3544,Visa,debit,2029-05-31,,active,2025-05-13
18,223,411111 ** **** 7319,7319,Visa,credit,2024-07-31,2384.16,expired,2020-07-05
19,48,222100 ** **** 7564,7564,Mastercard,credit,2027-07-31,7424.08,active,2023-07-28
20,680,545454 ** **** 3584,3584,Mastercard,debit,2026-11-30,,blocked,2022-11-15
21,256,222100 ** **** 6198,6198,Mastercard,credit,2026-02-28,3331.31,active,2022-02-13
22,1080,424242 ** **** 3774,3774,Visa,debit,2028-12-31,,active,2024-12-07
23,7,222100 ** **** 2752,2752,Mastercard,debit,2028-01-31,,cancelled,2024-01-23
24,933,222100 ** **** 5461,5461,Mastercard,credit,2028-05-31,4377.08,active,2024-05-05
25,376,222100 ** **** 7544,7544,Mastercard,credit,2028-04-30,3241.05,active,2024-04-23
26,102,400000 ** **** 6904,6904,Visa,debit,2028-02-29,,active,2024-02-14
27,1057,411111 ** **** 0556,0556,Visa,debit,2029-05-31,,active,2025-05-25
28,225,555555 ** **** 4200,4200,Mastercard,debit,2029-04-30,,active,2025-04-18
29,890,545454 ** **** 8421,8421,Mastercard,credit,2027-04-30,3642.43,active,2023-04-30
30,474,411111 ** **** 2273,2273,Visa,credit,2024-02-29,10601.57,expired,2020-02-17
31,208,222100 ** **** 0950,0950,Mastercard,debit,2027-07-31,,active,2023-07-06
32,1079,411111 ** **** 8325,8325,Visa,debit,2027-04-30,,active,2023-04-05
33,819,411111 ** **** 1028,1028,Visa,debit,2027-07-31,,active,2023-07-13
