id,store_id,employee_code,full_name,national_id,role,hired_at,hourly_rate,active
1,1,EMP-00001,Ángel Osuna Benavente,10005938H,Department manager,2018-02-18,18.84,true
2,8,EMP-00002,Socorro Tomás Clavero,74212741K,Butcher,2022-12-04,14.24,true
3,8,EMP-00003,Rosalinda Ribera Catalá,50064658Y,Department manager,2022-11-24,21.77,true
4,7,EMP-00004,Virgilio del Bueno,62956967X,Shelf stacker,2023-06-04,9.37,true
5,2,EMP-00005,Florencia Redondo Somoza,25213311K,Cashier,2019-11-27,9.70,true
6,7,EMP-00006,Javiera Barrena,75874255S,Security,2022-04-22,11.25,true
7,4,EMP-00007,Yésica del Carro,23548752H,Security,2019-09-04,11.58,true
8,5,EMP-00008,Clara Ibarra Villanueva,56734829Q,Cashier,2022-11-12,9.99,true
9,3,EMP-00009,Oriana Riba Rodrigo,20076322J,Cashier,2023-01-26,12.69,true
10,7,EMP-00010,Gabriela Carmen Galvez Cuadrado,26922672E,Cashier,2023-05-05,9.05,true
11,1,EMP-00011,Ana Piedad Garcia Tena,96725075R,Department manager,2011-10-05,19.40,false
12,5,EMP-00012,Carmelita de Nieto,82272611R,Shelf stacker,2023-07-15,10.71,true
13,4,EMP-00013,Elba Martinez Marti,62442536C,Shelf stacker,2024-04-26,9.39,true
14,5,EMP-00014,Ileana de Contreras,41231148Z,Security,2024-01-27,12.00,false
15,1,EMP-00015,Julio César Villena Castillo,52781591H,Shelf stacker,2018-01-13,11.62,true
16,5,EMP-00016,Isaura Téllez Raya,65625075A,Cashier,2024-11-06,9.00,true
17,2,EMP-00017,Paulina Valbuena Lucena,82861432E,Shelf stacker,2014-06-16,9.84,true
18,7,EMP-00018,Donato Vicens Avilés,27558780L,Cashier,2022-01-14,9.18,true
19,4,EMP-00019,Gil Bermudez Alemán,05843556S,Security,2024-05-15,12.18,true
20,3,EMP-00020,Victor Mayol Morales,41487274N,Baker,2022-02-23,11.34,true
21,8,EMP-00021,Mariano Peinado Solana,20355585X,Cashier,2023-05-21,10.73,true
22,6,EMP-00022,Ruben Gimeno,62920178K,Store manager,2011-04-23,23.30,true
23,6,EMP-00023,Herberto de Montserrat,09385466V,Cashier,2012-08-20,11.33,true
24,5,EMP-00024,Mariano de Amores,53072104H,Fishmonger,2023-05-19,14.30,true
25,1,EMP-00025,Ignacio Cobos Baños,70329909A,Baker,2011-08-09,13.80,true
26,5,EMP-00026,Ruth Sobrino Araujo,38160744H,Baker,2024-09-04,11.07,true
27,4,EMP-00027,Modesta Barco Reguera,64443399K,Department manager,2021-10-11,17.72,false
28,8,EMP-00028,Victoria Maxi Pozuelo Palma,71308001C,Cashier,2024-12-02,10.36,true
29,8,EMP-00029,Poncio Ledesma Lucena,01028823X,Cashier,2021-03-26,9.58,true
30,7,EMP-00030,Reynaldo Torrijos Rubio,74916523A,Cashier,2022-07-09,9.00,true
31,5,EMP-00031,Roberta Borja Vera,87626841S,Cashier,2025-05-14,10.32,true
32,2,EMP-00032,José Luis Donoso Riera,92503231Z,Shelf stacker,2023-11-05,9.76,true
33,7,EMP-00033,Rosario Pomares Fuertes,86550559H,Cashier,2023-09-13,10.07,true
34,2,EMP-00034,Pedro Frías Gisbert,34223534V,Baker,2019-05-18,12.60,true
35,6,EMP-00035,Ovidio Arranz Viana,71165875B,Security,2016-02-12,10.46,false
36,7,EMP-00036,Ceferino Valera,16176647B,Baker,2023-07-09,13.53,true
37,2,EMP-00037,Esmeralda Lluch Vazquez,96590488X,Store manager,2015-10-14,19.47,true
38,6,EMP-00038,Carolina de Valdés,70997624M,Fishmonger,2011-12-13,13.32,true
39,2,EMP-00039,Feliciana de Peláez,27282600T,Cashier,2023-08-09,9.62,false
40,4,EMP-00040,Ambrosio del Vázquez,53036407V,Department manager,2020-12-10,13.16,true
41,3,EMP-00041,Elías Blanco Becerra,87492923A,Fishmonger,2024-02-22,13.67,true
42,2,EMP-00042,Erasmo Mercader Pellicer,38119156Z,Cashier,2021-10-09,10.67,true
43,8,EMP-00043,Francisco Salas,46231179Y,Butcher,2024-08-12,15.01,true
44,7,EMP-00044,Porfirio Alberdi Zamora,38041912G,Store manager,2023-05-31,23.23,true
45,6,EMP-00045,Jimena Jara Llano,82092523A,Fishmonger,2021-05-01,12.70,true
46,1,EMP-00046,Édgar del Galiano,80612238K,Butcher,2010-03-09,14.93,true
47,8,EMP-00047,Mercedes Falcón Rocamora,25482242J,Cashier,2024-03-26,9.51,true
48,8,EMP-00048,Eligia de Álvaro,42089704A,Department manager,2023-10-27,16.19,true
49,6,EMP-00049,Dimas de Sastre,99335626Y,Fishmonger,2022-04-05,12.00,true
50,5,EMP-00050,Florencio Santana Aguilera,23451825J,Shelf stacker,2024-10-10,9.23,true
51,1,EMP-00051,Felicia Rodriguez Plaza,58297893T,Department manager,2022-07-11,17.20,true
52,3,EMP-00052,María Teresa Fabregat Cabezas,20798120W,Cashier,2021-12-03,10.20,false
